Date,Open,High,Low,Close,Adj Close,Volume
21/5/2018,22.34,22.34,22,22.09,21.83773,6349800
22/5/2018,22.120001,22.26,22.01,22.07,21.817959,8676700
23/5/2018,21.870001,21.9,21.549999,21.9,21.649899,9814200
24/5/2018,21.799999,21.98,21.440001,21.92,21.669672,8251800
25/5/2018,21.860001,21.98,21.799999,21.91,21.659786,7733100
29/5/2018,21.74,21.780001,21.200001,21.299999,21.056751,13208500
30/5/2018,22.4,22.48,21.040001,22.16,21.906931,18182000
31/5/2018,22.110001,22.32,21.959999,22.030001,21.778416,15182500
1/6/2018,22.139999,22.709999,22.110001,22.68,22.420992,9187800
4/6/2018,22.700001,22.83,22.6,22.74,22.480309,8164800
5/6/2018,22.84,23.5,22.780001,23.42,23.152542,14278000
6/6/2018,23.52,23.6,23.18,23.51,23.241514,10129200
7/6/2018,23.530001,23.700001,23.370001,23.549999,23.281057,9292400
8/6/2018,23.4,23.75,23.4,23.709999,23.43923,6778800
11/6/2018,23.68,24.200001,23.65,24.01,23.735806,9149100
12/6/2018,23.99,23.99,23.549999,23.620001,23.486521,6088400
13/6/2018,23.620001,23.75,23.540001,23.540001,23.406973,8073200
14/6/2018,23.629999,23.99,23.629999,23.799999,23.665503,8243000
15/6/2018,23.700001,23.700001,23.440001,23.59,23.45669,13022800
18/6/2018,23.370001,23.75,23.299999,23.65,23.51635,5550200
19/6/2018,23.309999,23.57,23.16,23.52,23.387087,8855500
20/6/2018,23.6,23.690001,23.299999,23.299999,23.168327,6834400
21/6/2018,23.540001,23.620001,23.309999,23.5,23.367199,8911800
22/6/2018,23.65,23.9,23.59,23.799999,23.665503,14816900
25/6/2018,23.629999,23.76,22.940001,23.09,22.959517,8785300
26/6/2018,23.129999,23.23,22.99,23.049999,22.919741,6863200
27/6/2018,22.98,23.17,22.809999,22.809999,22.681097,7520900
28/6/2018,22.83,22.85,22.35,22.67,22.541889,9800800
29/6/2018,22.799999,23.049999,22.67,22.690001,22.561777,7585900
2/7/2018,22.540001,22.860001,22.379999,22.860001,22.730816,5855900
3/7/2018,22.92,22.93,22.549999,22.59,22.462341,3619200
5/7/2018,22.82,22.99,22.450001,22.75,22.621437,7158600
6/7/2018,22.780001,23.219999,22.6,23.01,22.879969,5375100
9/7/2018,23.139999,23.440001,23.01,23.370001,23.237934,7057100
10/7/2018,23.360001,23.969999,23.360001,23.870001,23.735109,10481600
11/7/2018,23.65,23.709999,23.049999,23.059999,22.929686,6833500
12/7/2018,23.280001,23.620001,23.219999,23.530001,23.39703,6345400
13/7/2018,23.309999,23.77,23.299999,23.709999,23.576012,5150200
16/7/2018,23.690001,23.74,23.51,23.57,23.436804,3791500
17/7/2018,23.379999,23.719999,23.379999,23.59,23.45669,4094700
18/7/2018,23.6,23.68,23.32,23.530001,23.39703,6467400
19/7/2018,23.4,23.530001,23.17,23.190001,23.05895,6056000
20/7/2018,23.190001,23.200001,22.889999,22.940001,22.810364,6919000
23/7/2018,22.870001,23.15,22.66,23.040001,22.9098,5596300
24/7/2018,23.25,23.450001,22.9,22.99,22.860081,7192200
25/7/2018,22.91,23.309999,22.91,23.290001,23.158386,5854100
26/7/2018,23.219999,23.65,23.219999,23.450001,23.317482,6452300
27/7/2018,23.450001,23.549999,23.110001,23.23,23.098724,4729700
30/7/2018,23.25,23.389999,22.969999,23.1,22.96946,4268300
31/7/2018,23.120001,23.219999,23.049999,23.08,22.949572,6092600
1/8/2018,23.139999,23.299999,22.959999,23.01,22.879969,4344500
2/8/2018,22.889999,23.26,22.889999,23.209999,23.078836,5254300
3/8/2018,23.26,23.49,23.219999,23.34,23.208103,5092800
6/8/2018,23.280001,23.83,23.280001,23.74,23.605843,5649700
7/8/2018,23.83,24.08,23.799999,23.99,23.854429,6311700
8/8/2018,23.98,24.25,23.93,24.139999,24.003582,5567800
9/8/2018,24.129999,24.32,24.049999,24.08,23.94392,4837000
10/8/2018,23.91,24.09,23.91,23.99,23.854429,5335900
13/8/2018,24.049999,24.16,23.790001,23.799999,23.665503,4631500
14/8/2018,23.93,24.25,23.93,24.15,24.013525,5071400
15/8/2018,23.91,24.09,23.879999,24.030001,23.894205,6318700
16/8/2018,24.18,24.290001,24.059999,24.139999,24.003582,6125700
17/8/2018,24.08,24.620001,24.07,24.540001,24.401323,7524400
20/8/2018,24.540001,24.799999,24.450001,24.540001,24.401323,6085600
21/8/2018,24.6,24.73,24.35,24.49,24.351604,8179200
22/8/2018,24.459999,24.629999,24.25,24.49,24.351604,5273800
23/8/2018,24.5,24.709999,24.48,24.629999,24.490812,8162100
24/8/2018,24,24.379999,23.68,24.15,24.013525,12857900
27/8/2018,24.389999,24.559999,24.27,24.33,24.192509,6600000
28/8/2018,24.440001,24.59,24.309999,24.49,24.351604,5619700
29/8/2018,24.549999,25.280001,24.51,25.08,24.938271,11216200
30/8/2018,25.040001,25.26,24.690001,24.73,24.590248,9607900
31/8/2018,24.559999,24.73,24.42,24.65,24.5107,8939200
4/9/2018,24.530001,24.879999,24.389999,24.809999,24.669796,8906600
5/9/2018,24.83,24.93,24.48,24.68,24.540531,12746000
6/9/2018,24.709999,24.92,24.639999,24.68,24.540531,7686500
7/9/2018,24.76,24.959999,24.66,24.709999,24.57036,14398300
10/9/2018,24.780001,24.889999,24.57,24.65,24.5107,11585700
11/9/2018,24.450001,24.809999,24.35,24.68,24.68,13718300
12/9/2018,24.6,24.690001,24.42,24.6,24.6,6950600
13/9/2018,24.709999,25.09,24.67,25.01,25.01,6814900
14/9/2018,25.01,25.15,24.959999,25.040001,25.040001,5509800
17/9/2018,25.040001,25.25,24.98,25.01,25.01,5937400
18/9/2018,24.98,25.27,24.959999,25.16,25.16,7597400
19/9/2018,25.15,25.33,25.049999,25.26,25.26,7133900
20/9/2018,25.440001,25.780001,25.4,25.690001,25.690001,10136200
21/9/2018,25.790001,26.139999,25.73,25.83,25.83,21915800
24/9/2018,25.73,25.950001,25.719999,25.870001,25.870001,9643700
25/9/2018,25.860001,25.940001,25.52,25.559999,25.559999,6308800
26/9/2018,25.709999,26.219999,25.709999,25.969999,25.969999,10367800
27/9/2018,26.01,26.02,25.58,25.629999,25.629999,7933500
28/9/2018,25.540001,25.889999,25.48,25.77,25.77,9174500
1/10/2018,25.799999,25.98,25.530001,25.6,25.6,8571800
2/10/2018,25.6,26.15,25.6,26.08,26.08,14379900
3/10/2018,26.200001,26.34,25.969999,26.059999,26.059999,8714400
4/10/2018,26.889999,27.08,26.219999,26.42,26.42,12955500
5/10/2018,26.27,26.43,25.219999,25.34,25.34,15682400
8/10/2018,25.190001,25.35,24.940001,25.01,25.01,11520200
9/10/2018,24.870001,25.120001,24.75,24.969999,24.969999,9625500
10/10/2018,24.809999,25,24.219999,24.26,24.26,14230000
11/10/2018,24.07,24.139999,22.84,23.01,23.01,18005500
12/10/2018,23.459999,23.76,23.27,23.67,23.67,12284500
15/10/2018,23.620001,23.85,23.540001,23.559999,23.559999,9107900
16/10/2018,23.77,23.98,23.559999,23.959999,23.959999,8101400
17/10/2018,24.030001,24.129999,23.6,23.870001,23.870001,7839200
18/10/2018,23.809999,24.09,23.540001,23.77,23.77,7205500
19/10/2018,23.870001,24.25,23.65,23.84,23.84,11827000
22/10/2018,24,24.43,23.950001,24.110001,24.110001,10434900
23/10/2018,23.610001,24.129999,23.26,23.940001,23.940001,9621900
24/10/2018,23.969999,24.040001,23.02,23.059999,23.059999,11420600
25/10/2018,23.280001,24.059999,23.27,23.790001,23.790001,11226200
26/10/2018,23.309999,23.629999,22.85,23.129999,23.129999,12369400
29/10/2018,23.48,23.719999,22.700001,23.02,23.02,9897300
30/10/2018,23.07,23.700001,22.98,23.67,23.67,9440800
31/10/2018,23.84,24.370001,23.780001,24.139999,24.139999,9992200
1/11/2018,24.24,24.5,23.98,24.49,24.49,7361500
2/11/2018,24.360001,24.83,24.299999,24.629999,24.629999,11792200
5/11/2018,24.629999,24.77,24.42,24.639999,24.639999,7039000
6/11/2018,24.59,24.879999,24.530001,24.879999,24.879999,6444500
7/11/2018,25.08,25.51,24.66,25.469999,25.469999,8228400
8/11/2018,25.42,25.719999,25.370001,25.5,25.5,7545700
9/11/2018,25.360001,25.49,24.76,25,25,7125800
12/11/2018,24.77,24.860001,23.940001,23.99,23.99,7794700
13/11/2018,23.99,24.33,23.780001,23.950001,23.950001,7820600
14/11/2018,24.26,24.42,23.690001,23.73,23.73,9949500
15/11/2018,23.549999,24.43,23.42,24.17,24.17,10585800
16/11/2018,23.99,24.370001,23.959999,24.16,24.16,8672100
19/11/2018,24.09,24.17,23.309999,23.549999,23.549999,10002900
